Name,Table 1,Count
Test,,0
MAKE NEW RECORD,,0
Sculpture,"OP_001,OP_004,OP_013,O11_014,O11_013,OP_016,OP_023,OP_026,OP_036,OP_037,OP_039,OP_040,OP_041,OP_042,OP_043,OP_044,O11_012,O11_011,O11_004,O12_009,O11_001,O10_010,O10_009,FS_010,O24_003a,O24_002a,O16_001,O24_004,FS_016,O12_011,O09_001,O10_002,O11_019,O16_003,O24_002,O24_003,O24_005,FS_019,FS_017,FS_014,FS_013,O09_003,O10_003,O10_005,O10_006,O10_007,O11_002,O12_003,O12_012,FS_003,FS_004,FS_005,FS_009,FS_011,FS_012,N01_001,N01_003,N01_004,N09_003,O25_007,O25_008,O25_010,O25_011,OP_045,OP_047,OP_051,OP_054,OP_055,OP_059,OP_062,OP_063,OP_065,OP_069",73
Interaction ,"O10_004,O25_001,O25_006,OP_048,OP_058",5
Memorial,"OP_025,OP_021,OP_031,O11_008,O24_002a,O10_005,O11_002,FS_001,OP_064",9
Historical Marker,"OP_035,O11_002",2
Arch,,0
Audio,"OP_032,O10_004",2
Bench,"O11_010,O11_002",2
Billboard,OP_006,1
Book,O25_001,1
Bridge,OP_033,1
Building,"OP_008,OP_010,O10_008",3
Community Center,,0
Conceptual,"OP_003,OP_005,OP_024,OP_007,O10_013,OP_014,OP_015,OP_017,OP_018,OP_019,OP_020,OP_027,OP_028,OP_029,OP_030,OP_032,OP_034,OP_036,OP_038,O10_011,O11_005,O11_009,FS_006,O10_001,O11_016,O11_015,O11_017,O11_018,O11_020,O16_002,O16_004,O16_005,O16_007,O16_008,O16_009,O16_010,O10_006,O10_007,O11_002,O12_004,O12_005,O12_006,O12_007,O12_008,O12_012,O12_013,FS_005,FS_007,FS_009,N02_002,N07_002,N09_001,N09_003,N09_004,N09_005,N09_006,N09_007,N09_008,N09_009,N09_010,O25_002,O25_003,O25_004,O25_009,O25_010,OP_046,OP_049,OP_050,OP_052,OP_053,OP_056,OP_057,OP_059,OP_060,OP_061,OP_063,OP_067,OP_068",78
Digital,"O09_003,O10_004",2
Event,O10_004,1
Plaque,O11_003,1
Performance,O10_004,1
Park,,0
Museum,,0
Mural,"OP_002,OP_012,O10_005,O10_007,O11_002,O11_003,FS_008,N01_002,O25_009,OP_066",10
Film,,0
Fountain,"O10_012,O11_002",2
Garden,,0
Graffiti,"OP_011,OP_034,O10_005,O10_007",4
Meal,,0
Playground,,0
Projection,,0
Protest,OP_009,1
Space,"OP_040,O24_001,FS_015,O10_005,O25_006",5
Shrine,,0
Song/Sound,O10_004,1
Street,,0
Stumble Stone,,0
Tree,,0
Walkway,,0
Exhibit/Display,"OP_022,O12_010,O10_007,N01_002,N07_001",5
Bust,O10_010,1
Demolition/Removal,"O11_007,O11_006",2
Painting,"O12_011,O25_005",2
Opportunity,"O12_010,O10_004",2
Mixed Media Art Installation,"O24_001a,O11_002,OP_054",3
Hub,,0
Hub,O09_002,1
Stickers,"FS_002,OP_058",2
Wall,FS_002,1
Statue,FS_003,1
Augmented Reality,N02_001,1
Restaurant,N09_002,1
Mirror,OP_054,1
